FACIL;Qual é a capital da França?;Londres;Paris;Berlim;Madri;1
FACIL;Quanto é 2 + 2?;3;4;5;6;1
FACIL;Qual a cor do céu em um dia limpo?;Verde;Azul;Vermelho;Amarelo;1
MEDIO;Qual o maior planeta do nosso sistema solar?;Terra;Marte;Júpiter;Saturno;2
MEDIO;Quem escreveu 'Dom Quixote'?;Machado de Assis;Miguel de Cervantes;William Shakespeare;Dante Alighieri;1
MEDIO;Qual elemento químico tem o sí­mbolo 'O'?;Ouro;Oxigênio;Ósmio;Prata;1
DIFICIL;Em que ano o homem pisou na Lua pela primeira vez?;1965;1969;1971;1973;1
DIFICIL;Qual é a montanha mais alta do mundo?;K2;Kangchenjunga;Lhotse;Everest;3
DIFICIL;Qual o nome do processo de conversão de luz solar em energia pelas plantas?;Fotossí­ntese;Respiração;Transpiração;Digestão;0
FACIL;Qual animal é conhecido como o 'rei da selva'?;Tigre;Leão;Onça;Lobo;1
FACIL;Qual a cor da banana madura?;Vermelha;Roxa;Verde;Amarela;3
MEDIO;Qual o oceano que banha a costa leste do Brasil?;Pacífico;Índico;Atlântico;Ártico;2
MEDIO;Quantos lados tem um hexágono?;5;6;7;8;1
DIFICIL;Qual foi o primeiro metal a ser usado pelo homem na pré-história?;Ferro;Bronze;Cobre;Ouro;2
DIFICIL;Quem é o autor da famosa pintura 'Mona Lisa'?;Vincent van Gogh;Pablo Picasso;Leonardo da Vinci;Salvador Dalí;2
DIFICIL;Qual o nome do primeiro satélite artificial?;Sputnik 1;Apollo 11;Explorer 1;Voyager 1;0
